Group,Seniority,Position,Location,Salary_b2b,Salary_permanent,Obligatory_skills,Optional_skills
Javascript,Mid,Front-end Developer (Angular/React), Warszawa,13 000 - 21 000 PLN,No permanent information,"[{'Angular': 'advanced'}, {'React': 'advanced'}, {'Scrum': 'regular'}, {'Microservices': 'regular'}]",
Javascript,Mid,Software Engineer, Atlanta,6 667 - 7 500 USD,No permanent information,"[{'MongoDB': 'regular'}, {'Blockchain': 'regular'}, {'Node.js': 'regular'}]",
Javascript,Mid,Front-end Engineer (Angular), Wrocław,10 000 - 15 000 PLN,10 000 - 15 000 PLN,"[{'Angular': 'advanced'}, {'TypeScript': 'regular'}, {'HTML / CSS': 'regular'}, {'SCSS': 'regular'}, {'Git': 'regular'}, {'RxJS': 'regular'}, {'NgRx': 'regular'}, {'Jasmine': 'regular'}]",
Javascript,Mid,Frontend Developer (React), Gdańsk,13 000 - 16 000 PLN,No permanent information,"[{'React': 'regular'}, {'Next.js': 'regular'}, {'REST API': 'regular'}, {'TypeScript': 'junior'}, {'Monorepo': 'junior'}, {'Node.js': 'junior'}]","[{'Gatsby': 'nice to have'}, {'Leaflet': 'nice to have'}, {'Mapbox': 'nice to have'}]"
Javascript,Senior,Senior Infrastructure Engineer, Milwaukee,10 830 - 12 500 USD,No permanent information,"[{'AWS': 'advanced'}, {'GraphQL': 'junior'}, {'MongoDB': 'junior'}]",
Javascript,Senior,Senior Frontend Engineer, New York,5 000 - 10 000 USD,No permanent information,"[{'JavaScript': 'master'}, {'TypeScript': 'advanced'}, {'ReactJS': 'advanced'}]",
Javascript,Mid,Frontend Developer (React), Warszawa,13 000 - 16 000 PLN,No permanent information,"[{'React': 'regular'}, {'Next.js': 'regular'}, {'REST API': 'regular'}, {'TypeScript': 'junior'}, {'Monorepo': 'junior'}, {'Node.js': 'junior'}]","[{'Gatsby': 'nice to have'}, {'Leaflet': 'nice to have'}, {'Mapbox': 'nice to have'}]"
Javascript,Mid,Front End Web Developer, Los Angeles,4 167 - 6 667 USD,No permanent information,"[{'JavaScript': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}, {'jQuery': 'regular'}, {'Web Development': 'regular'}]",
Javascript,Mid,Angular Developer - freelance, Wrocław,Undisclosed Salary,No permanent information,"[{'Angular': 'advanced'}, {'RxJS': 'advanced'}, {'TypeScript': 'regular'}, {'HTML / CSS': 'regular'}, {'SCSS': 'regular'}, {'Git': 'regular'}, {'NgRx': 'regular'}, {'Jasmine': 'regular'}]",
Javascript,Mid,Front-end Developer, Kraków,11 000 - 14 800 PLN,9 100 - 12 400 PLN,"[{'Angular': 'advanced'}, {'React': 'advanced'}, {'JS': 'advanced'}, {'CSS': 'advanced'}, {'HTML': 'advanced'}]",
Javascript,Mid,Frontend Developer, Poznań,Undisclosed Salary,No permanent information,"[{'React': 'regular'}, {'JavaScript': 'regular'}, {'HTML': 'regular'}, {'CSS': 'regular'}]",
Javascript,Mid,Front-End React Developer, Kraków,8 000 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React / Redux': 'advanced'}, {'Webpack': 'junior'}, {'Angular 2+': 'junior'}, {'Node.js': 'junior'}, {'Vue.js': 'junior'}]",
Javascript,Senior,Frontend Tech Lead, Warszawa,25 000 - 34 000 PLN,No permanent information,"[{'JavaScript': 'master'}, {'Vue.js': 'advanced'}, {'React': 'advanced'}, {'DevOps': 'regular'}]",
Javascript,Senior,"Software Engineer, Apps Foundation", Warszawa,20 000 - 26 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'Node.js': 'advanced'}, {'TypeScript': 'advanced'}]",
Javascript,Junior,Junior/Mid React Frontend Developer, Kraków,4 000 - 8 000 PLN,4 000 - 8 000 PLN,"[{'React': 'junior'}, {'Redux': 'junior'}, {'SCSS': 'junior'}]",[{'TypeScript': 'nice to have'}]
Javascript,Senior,JavaScript Developer (Billing Team), Warszawa,12 000 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Vue': 'advanced'}, {'Vuex': 'advanced'}]",[{'Nuxt': 'nice to have'}]
Javascript,Senior,Remote Senior Frontend Engineer (React), Warszawa,21 000 - 28 000 PLN,No permanent information,"[{'JavaScript': 'master'}, {'React': 'master'}, {'Polish': 'regular'}]",
Javascript,Mid,Regular Backend (Node.js) Developer, Poznań,9 000 - 14 000 PLN,No permanent information,"[{'Node.js': 'regular'}, {'Express.js': 'regular'}, {'TypeScript': 'regular'}]",[{'Docker': 'nice to have'}]
Javascript,Mid,Regular Angular/React Developer, Poznań,8 000 - 12 000 PLN,No permanent information,"[{'HTML5': 'advanced'}, {'CSS3': 'advanced'}, {'JavaScript': 'advanced'}, {'TypeScript': 'advanced'}, {'Git': 'advanced'}, {'React': 'regular'}, {'Angular': 'regular'}, {'DRY': 'regular'}, {'Solid': 'regular'}, {'English': 'regular'}]",
Javascript,Senior,Senior React Developer, Kraków,9 000 - 17 000 PLN,No permanent information,"[{'React': 'advanced'}, {'English': 'advanced'}, {'Node.js': 'regular'}, {'PostgreSQL': 'regular'}, {'Jest': 'regular'}, {'cypres': 'regular'}, {'Express.js': 'regular'}, {'Cucumber.js': 'regular'}, {'JavaScript': 'regular'}, {'NoSQL': 'regular'}]",
Javascript,Senior,Senior FullStack Developer, Poznań,20 000 - 24 500 PLN,No permanent information,"[{'TypeScript': 'advanced'}, {'React': 'regular'}, {'Node.js': 'regular'}]",[{'AWS': 'nice to have'}]
Javascript,Mid,Angular Developer with Java/.NET, Wrocław,9 000 - 16 900 PLN,No permanent information,"[{'Angular 6+': 'advanced'}, {'Angular framework': 'advanced'}, {'TypeScript': 'advanced'}, {'JavaScript': 'advanced'}, {'Spring framework/.NET Cor': 'regular'}, {'Java 11/.NET': 'regular'}, {'UI Router': 'junior'}, {'Azure/AWS': 'junior'}, {'Docker': 'junior'}, {'Hibernate': 'junior'}]",
Javascript,Mid,Frontend Developer, Gdynia,12 000 - 16 000 PLN,No permanent information,"[{'CSS': 'advanced'}, {'HTML5': 'advanced'}, {'JavaScript': 'regular'}, {'SASS': 'regular'}, {'RWD': 'regular'}, {'Vue.js': 'regular'}, {'English': 'regular'}, {'Webpack': 'junior'}, {'Yarn': 'junior'}]",[{'Photoshop': 'nice to have'}]
Javascript,Senior,Open Source Senior Frontend (React) Engineer, Kraków,13 000 - 20 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'Polish': 'regular'}]","[{'TypeScript': 'nice to have'}, {'Docker': 'nice to have'}]"
Javascript,Senior,Mid/Senior Full Stack Engineer, Miami,4 000 - 6 000 USD,No permanent information,"[{'Node.js': 'advanced'}, {'TypeScript': 'advanced'}, {'SQL': 'advanced'}, {'React': 'regular'}, {'CSS': 'regular'}]",[{'Google Cloud Platform': 'nice to have'}]
Javascript,Mid,Middle/Senior Frontend Developer, Wrocław,10 000 - 20 000 PLN,No permanent information,"[{'HTML': 'advanced'}, {'CSS': 'advanced'}, {'SASS': 'advanced'}, {'JavaScript': 'regular'}, {'React': 'regular'}, {'TypeScript': 'regular'}]",
Javascript,Senior,Senior Frontend Developer, Kraków,11 000 - 16 000 PLN,10 000 - 15 000 PLN,"[{'Angular 2+': 'master'}, {'TypeScript': 'advanced'}, {'HTML5': 'advanced'}, {'CSS3': 'advanced'}, {'Bootstrap': 'advanced'}, {'Git': 'advanced'}, {'JIRA': 'advanced'}, {'.NET Core': 'junior'}]",
Javascript,Mid,Angular Developer with Java/.NET, Wrocław,14 400 - 24 000 PLN,No permanent information,"[{'Angular 6+': 'advanced'}, {'Angular framework': 'advanced'}, {'TypeScript': 'advanced'}, {'JavaScript': 'advanced'}, {'Spring framework/.NET Cor': 'regular'}, {'Java 11/ .NET': 'regular'}, {'AWS/Azure': 'junior'}, {'UI Router': 'junior'}]","[{'Docker': 'nice to have'}, {'Hibernate': 'nice to have'}]"
Javascript,Senior,Senior FullStack Developer, Kraków,20 000 - 24 500 PLN,No permanent information,"[{'TypeScript': 'advanced'}, {'React': 'regular'}, {'Node.js': 'regular'}]",[{'AWS': 'nice to have'}]
Javascript,Senior,Senior Front-end Engineer (Angular), Wrocław,15 000 - 25 300 PLN,15 000 - 25 300 PLN,"[{'Angular': 'master'}, {'TypeScript': 'master'}, {'HTML / CSS': 'advanced'}, {'RxJS': 'advanced'}, {'NgRx': 'advanced'}, {'SCSS': 'regular'}, {'Git': 'regular'}, {'Jasmine': 'regular'}]",
Javascript,Senior,Full Stack Developer, Warszawa,17 000 - 22 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'English': 'advanced'}, {'Node.js Express': 'advanced'}, {'ReactJS': 'regular'}, {'Express.js': 'regular'}]","[{'Nest.js': 'nice to have'}, {'GraphQL': 'nice to have'}, {'Unit Testing': 'nice to have'}]"
Javascript,Mid,Node.js Backend Developer, Gdynia,13 500 - 19 200 PLN,No permanent information,"[{'Backend': 'advanced'}, {'MySQL': 'advanced'}, {'Microservice Architecture': 'regular'}, {'OOP': 'regular'}, {'English': 'regular'}]","[{'Docker': 'nice to have'}, {'React': 'nice to have'}, {'Node.js': 'nice to have'}]"
Javascript,Mid,Frontend Developer, Gdańsk,9 000 - 11 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'REST API': 'advanced'}, {'Next.js': 'regular'}, {'Docker': 'regular'}, {'Linux': 'regular'}, {'MATERIAL-UI': 'regular'}]",[{'Flutter': 'nice to have'}]
Javascript,Mid,Front-End Software Developer, Poznań,12 000 - 20 000 PLN,No permanent information,"[{'React': 'advanced'}, {'TypeScript': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Mid,Front-End Software Developer, Wrocław,12 000 - 20 000 PLN,No permanent information,"[{'React': 'advanced'}, {'TypeScript': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Mid,Frontend Developer, Wrocław,8 000 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'English': 'advanced'}, {'Git': 'regular'}, {'HTML5 / CSS3': 'junior'}]",
Javascript,Mid,Vue.js Developer, Warszawa,8 000 - 14 000 PLN,7 000 - 13 000 PLN,"[{'JavaScript': 'advanced'}, {'Vue.js': 'regular'}, {'Jest': 'junior'}, {'Webpack': 'junior'}]",
Javascript,Junior,Junior Angular Developer, Warszawa,3 000 - 6 000 PLN,No permanent information,"[{'Angular 2+': 'regular'}, {'HTML5/CSS3': 'regular'}, {'TypeScript': 'junior'}]","[{'NgRx': 'nice to have'}, {'RxJS': 'nice to have'}]"
Javascript,Mid,React Developer, Łódź,8 500 - 14 500 PLN,No permanent information,"[{'English': 'advanced'}, {'React': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Mid,Mid Front-End Developer, Bydgoszcz,10 000 - 12 000 PLN,No permanent information,"[{'HTML5': 'advanced'}, {'Vue.js': 'advanced'}, {'CSS3': 'regular'}, {'JavaScript': 'regular'}, {'SCSS': 'regular'}, {'Nuxt': 'regular'}]","[{'Git': 'nice to have'}, {'PHP 7.x': 'nice to have'}, {'Symfony 4': 'nice to have'}]"
