Group,Seniority,Position,Location,Salary_b2b,Salary_permanent,Obligatory_skills,Optional_skills 
Javascript,Senior,Senior React Engineer, Warszawa,14 000 - 20 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'English': 'regular'}, {'unit tests': 'regular'}]",
Javascript,Senior,Front-End Architect with Angular, Wrocław,17 000 - 22 000 PLN,No permanent information,"[{'Angular': 'master'}, {'TypeScript': 'master'}, {'NgRx': 'regular'}, {'Monorepo': 'regular'}, {'Cypress': 'regular'}, {'RxJS': 'regular'}, {'Webpack': 'junior'}, {'CSS': 'junior'}]",[{'AngularJS': 'nice to have'}]
Javascript,Senior,Frontend Developer (React), Wrocław,12 000 - 15 000 PLN,No permanent information,"[{'React': 'advanced'}, {'React Native': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}, {'React Expo': 'regular'}, {'Redux': 'regular'}, {'Jest': 'regular'}, {'ES6': 'regular'}]","[{'SASS': 'nice to have'}, {'Responsive Web Design': 'nice to have'}]"
Javascript,Mid,Front-end Developer, Zabrze,11 000 - 15 000 PLN,No permanent information,"[{'Angular 9+': 'regular'}, {'TypeScript': 'regular'}, {'CSS': 'regular'}, {'JavaScript': 'regular'}, {'REST': 'junior'}, {'Solid': 'junior'}, {'React': 'junior'}]",
Javascript,Mid,Front Developer, Poznań,9 000 - 14 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'CSS': 'regular'}, {'TypeScript': 'regular'}, {'React': 'regular'}, {'Docker': 'regular'}, {'English': 'regular'}]","[{'PHP': 'nice to have'}, {'Symfony': 'nice to have'}, {'AWS': 'nice to have'}, {'Kubernetes': 'nice to have'}]"
Javascript,Mid,Frontend Angular Developer, Wrocław,21 000 - 27 000 PLN,No permanent information,"[{'Angular Material': 'regular'}, {'Angular': 'regular'}]",
Javascript,Senior,Frontend Developer (remote), Wrocław,24 000 - 27 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Angular': 'advanced'}, {'React': 'advanced'}, {'Bootstrap': 'regular'}, {'jQuery': 'regular'}]",[{'PHP': 'nice to have'}]
Javascript,Mid,Frontend Angular Developer, Warszawa,17 000 - 21 000 PLN,No permanent information,"[{'TypeScript': 'advanced'}, {'Angular 9+': 'advanced'}, {'JavaScript': 'regular'}, {'Unit Testing': 'regular'}]",
Javascript,Mid,Fullstack Developer, Warszawa,16 000 - 18 000 PLN,14 000 - 16 000 PLN,"[{'JavaScript': 'regular'}, {'TypeScript': 'regular'}, {'ReactJS': 'regular'}, {'CSS': 'regular'}, {'.Net Framework': 'regular'}, {'SQL': 'regular'}]",
Javascript,Mid,Front-end Developer (React), Warszawa,20 000 - 24 000 PLN,No permanent information,"[{'React': 'regular'}, {'GatsbyJS': 'regular'}, {'NextJS': 'regular'}, {'material UI': 'regular'}, {'Redux': 'regular'}]",
Javascript,Junior,Junior Frontend Developer, Katowice,7 000 - 9 000 PLN,6 500 - 8 500 PLN,"[{'JavaScript': 'junior'}, {'HTML': 'junior'}, {'CSS': 'junior'}]","[{'TypeScript': 'nice to have'}, {'Angular': 'nice to have'}]"
Javascript,Mid,Fullstack Developer, Bielsko-Biała,16 000 - 18 000 PLN,14 000 - 16 000 PLN,"[{'JavaScript': 'regular'}, {'TypeScript': 'regular'}, {'ReactJS': 'regular'}, {'CSS': 'regular'}, {'.Net Framework': 'regular'}, {'SQL': 'regular'}]",
Javascript,Mid,Frontend Developer, Warszawa,8 000 - 15 000 PLN,No permanent information,"[{'Angular': 'advanced'}, {'JavaScript': 'advanced'}, {'TypeScript': 'regular'}, {'HTML': 'regular'}, {'CSS': 'regular'}, {'REST': 'regular'}]",
Javascript,Mid,Node.JS Developer, Warszawa,18 000 - 23 000 PLN,No permanent information,"[{'Node.js': 'advanced'}, {'TypeScript': 'regular'}, {'PostgreSQL': 'regular'}, {'RESTful': 'regular'}, {'RabbitMQ': 'regular'}]",
Javascript,Mid,JavaScript Regular Developer, Katowice,Undisclosed Salary,No permanent information,"[{'JavaScript': 'master'}, {'Visual Studio': 'advanced'}, {'Git Repository': 'advanced'}]","[{'Vue.js': 'nice to have'}, {'HTML': 'nice to have'}, {'CSS': 'nice to have'}, {'Agile': 'nice to have'}]"
Javascript,Mid,JavaScript Developer, Warszawa,6 500 - 10 000 PLN,5 000 - 8 000 PLN,"[{'JavaScript': 'regular'}, {'ReactJS': 'regular'}, {'Git': 'regular'}, {'HTML5': 'junior'}, {'CSS3': 'junior'}]","[{'Vue.js': 'nice to have'}, {'Node.js': 'nice to have'}, {'TypeScript': 'nice to have'}]"
Javascript,Mid,JavaScript Developer (Mid+), Warszawa,10 000 - 15 500 PLN,8 000 - 12 500 PLN,"[{'JavaScript': 'regular'}, {'ReactJS': 'regular'}, {'HTML5': 'regular'}, {'CSS3': 'regular'}, {'Git': 'regular'}]",
Javascript,Mid,Mid/Senior Angular Developer, Białystok,8 000 - 16 000 PLN,6 600 - 13 200 PLN,"[{'Angular': 'advanced'}, {'JavaScript': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}, {'English': 'advanced'}]",
Javascript,Mid,Mid/Senior Angular Developer, Warszawa,8 000 - 16 000 PLN,6 600 - 13 200 PLN,"[{'Angular': 'advanced'}, {'JavaScript': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}, {'English': 'advanced'}]",
Javascript,Mid,Regular/Senior Front-end Developer, Katowice,Undisclosed Salary,No permanent information,"[{'JS': 'regular'}, {'React': 'regular'}, {'Angular': 'regular'}, {'React Native': 'regular'}]",[{'Node.js': 'nice to have'}]
Javascript,Mid,Fullstack Developer, Kraków,8 000 - 11 500 PLN,No permanent information,"[{'ReactJS': 'regular'}, {'Mobx/Redux': 'regular'}, {'Webpack': 'regular'}, {'ES6': 'regular'}, {'Ruby/Node.js': 'regular'}]","[{'Docker': 'nice to have'}, {'Redis': 'nice to have'}, {'DynamoDB': 'nice to have'}, {'Sidekiq': 'nice to have'}]"
Javascript,Mid,Fullstack / Node.js Developer, München,15 000 - 18 500 PLN,No permanent information,"[{'Node.js': 'regular'}, {'React': 'regular'}, {'Agile': 'regular'}, {'TDD': 'regular'}, {'TypeScript': 'regular'}]",
Javascript,Mid,REMOTE Node.js Developer, Warszawa,19 500 - 24 000 PLN,No permanent information,"[{'Node': 'advanced'}, {'Node.js': 'advanced'}, {'Docker': 'advanced'}, {'Kubernetes': 'advanced'}, {'AWS': 'advanced'}, {'SQL': 'regular'}, {'NoSQL': 'regular'}, {'Git': 'regular'}]",
Javascript,Junior,JavaScript Engineer, Kraków,8 000 - 9 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'Git': 'regular'}, {'Angular': 'junior'}]","[{'React': 'nice to have'}, {'TypeScript': 'nice to have'}]"
Javascript,Mid,JavaScript Developer (node.js), Katowice,Undisclosed Salary,No permanent information,"[{'Node.js': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Mid,Frontend Developer Vue.JS (zdalnie), Warszawa,8 000 - 14 000 PLN,No permanent information,"[{'Vue.js': 'advanced'}, {'HTML / CSS': 'advanced'}, {'JS/jQuery': 'advanced'}, {'Git': 'regular'}, {'JavaScript': 'regular'}]","[{'Laravel': 'nice to have'}, {'Blade templates': 'nice to have'}]"
Javascript,Junior,Junior React Developer, Łódź,5 000 - 8 000 PLN,No permanent information,"[{'HTML': 'advanced'}, {'CSS': 'advanced'}, {'ReactJS': 'junior'}, {'Git': 'junior'}, {'TypeScript': 'junior'}, {'JavaScript': 'junior'}]",[{'Next.js': 'nice to have'}]
Javascript,Junior,Junior Vue Developer, Łódź,5 000 - 8 000 PLN,No permanent information,"[{'HTML': 'advanced'}, {'CSS': 'advanced'}, {'JavaScript': 'regular'}, {'Git': 'regular'}, {'Vue.js': 'junior'}, {'TypeScript': 'junior'}]",[{'GraphQL': 'nice to have'}]
Javascript,Senior,JavaScript Developer (Payments Team), Warszawa,12 000 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Vue': 'advanced'}, {'Vuex': 'advanced'}]",[{'Nuxt': 'nice to have'}]
Javascript,Mid,Angular Developer, Warszawa,16 800 - 23 100 PLN,No permanent information,"[{'Front-End': 'regular'}, {'Angular': 'regular'}, {'TypeScript': 'regular'}]",
Javascript,Senior,Fullstack Developer, Gdynia,17 600 - 20 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'.Net': 'regular'}]",
Javascript,Mid,React/React Native Developer, Wrocław,7 000 - 13 500 PLN,No permanent information,"[{'React Native': 'regular'}, {'JavaScript': 'regular'}, {'English': 'regular'}, {'React': 'regular'}]",
Javascript,Senior,Senior Software Engineer (Front End), Warszawa,19 200 - 28 880 PLN,17 000 - 25 000 PLN,"[{'JavaScript': 'advanced'}, {'HTML': 'advanced'}, {'CSS': 'advanced'}]",
Javascript,Senior,Frontend Developer (React/Angular 11), Warszawa,21 000 - 26 040 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Angular 2+': 'advanced'}, {'ReactJS': 'advanced'}, {'TypeScript': 'regular'}, {'Git': 'regular'}]",[{'Google Cloud Platform': 'nice to have'}]
Javascript,Senior,Senior Front-end Developer for R&D, Warszawa,17 500 - 23 500 PLN,No permanent information,"[{'React': 'master'}, {'JavaScript': 'master'}, {'CSS': 'advanced'}, {'Test Automation': 'regular'}]","[{'.NET C#': 'nice to have'}, {'SQL': 'nice to have'}, {'SASS': 'nice to have'}]"
Javascript,Mid,Node.js Backend Developer, Wrocław,10 000 - 14 000 PLN,No permanent information,"[{'Redis': 'advanced'}, {'PostgreSQL': 'advanced'}, {'MySQL': 'advanced'}, {'Node.js': 'advanced'}]",
Javascript,Senior,Senior Front-End Developer with React.js, Warszawa,18 000 - 24 000 PLN,No permanent information,"[{'React': 'advanced'}, {'JavaScript': 'advanced'}, {'HTML5': 'advanced'}]","[{'CSS3': 'nice to have'}, {'Ruby on Rails': 'nice to have'}]"
Javascript,Junior,Junior JavaScript Developer, Warszawa,4 000 - 8 000 PLN,No permanent information,"[{'TypeScript': 'regular'}, {'Angular': 'junior'}, {'Node.js': 'junior'}]","[{'MongoDB': 'nice to have'}, {'Docker': 'nice to have'}, {'NgRx': 'nice to have'}, {'Ionic': 'nice to have'}, {'Nest': 'nice to have'}]"
Javascript,Senior,Senior React Engineer - Remote, San Diego,6 000 - 8 500 USD,No permanent information,"[{'React': 'advanced'}, {'JavaScript': 'advanced'}, {'Redux': 'regular'}]",[{'Ruby on Rails': 'nice to have'}]
Javascript,Mid,Remote Fullstack JS Developer, Gliwice,10 000 - 14 000 PLN,No permanent information,"[{'JS': 'master'}, {'SQL': 'advanced'}, {'English': 'advanced'}, {'node js': 'advanced'}, {'React': 'advanced'}, {'DevOps': 'regular'}, {'Data Science': 'regular'}, {'data analytics': 'regular'}]",
Javascript,Senior,Open Source Senior Frontend (React) Engineer, Warszawa,13 000 - 20 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'Polish': 'regular'}]","[{'TypeScript': 'nice to have'}, {'Docker': 'nice to have'}]"
Javascript,Mid,Frontend Developer - React/JavaScript, Wrocław,13 000 - 18 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}, {'RESTful API': 'regular'}, {'Design Patterns': 'regular'}, {'CSS': 'regular'}]",
Javascript,Senior,Senior Full Stack Developer, Gliwice,11 500 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}, {'TypeScript': 'advanced'}, {'ReactJS': 'advanced'}, {'Express.js': 'regular'}, {'Docker': 'regular'}]",
Javascript,Senior,Senior Typescript Backend Developer, Wrocław,12 000 - 20 000 PLN,No permanent information,"[{'TypeScript': 'master'}, {'JavaScript': 'master'}, {'Node.js': 'master'}, {'TypeORM': 'regular'}]",
Javascript,Senior,Engineering Manager, Kraków,21 000 - 27 500 PLN,19 000 - 25 000 PLN,"[{'JavaScript': 'advanced'}, {'Python': 'advanced'}, {'Java': 'advanced'}, {'React': 'regular'}]","[{'Node.js': 'nice to have'}, {'Kotlin': 'nice to have'}]"
Javascript,Mid,Node.js Developer, Wrocław,Undisclosed Salary,No permanent information,"[{'Node.js': 'regular'}, {'Express.js': 'regular'}, {'MongoDB': 'regular'}, {'MySQL': 'regular'}, {'PostgreSQL': 'regular'}]",
Javascript,Junior,Junior JavaScript Developer (relokacja), Gliwice,4 000 - 8 000 PLN,No permanent information,"[{'HTML': 'junior'}, {'CSS/SCSS': 'junior'}, {'JavaScript (ES6+)': 'junior'}, {'GitHub': 'junior'}]",[{'Jest': 'nice to have'}]
Javascript,Mid,Frontend Developer, Wrocław,Undisclosed Salary,No permanent information,"[{'HTML5': 'regular'}, {'CSS3': 'regular'}, {'JavaScript': 'regular'}]","[{'TypeScript': 'nice to have'}, {'Dart': 'nice to have'}, {'React': 'nice to have'}, {'Angular': 'nice to have'}]"
Javascript,Mid,Frontend Developer (React), Warszawa,8 000 - 16 000 PLN,No permanent information,"[{'React': 'regular'}, {'Redux': 'regular'}, {'TypeScript': 'regular'}, {'ES6+': 'regular'}]",
Javascript,Mid,Front-End Developer (React.js), Lublin,16 800 - 23 100 PLN,No permanent information,"[{'ReactJS': 'regular'}, {'CSS': 'regular'}, {'HTML': 'regular'}, {'React': 'regular'}]",
Javascript,Junior,Junior Frontend Developer, Warszawa,5 000 - 7 000 PLN,No permanent information,[{'JavaScript': 'junior'}],"[{'Angular 9': 'nice to have'}, {'vue 3': 'nice to have'}, {'TypeScript': 'nice to have'}, {'NgRx': 'nice to have'}, {'RxJS': 'nice to have'}, {'Vuex': 'nice to have'}, {'GraphQL': 'nice to have'}, {'Jasmine': 'nice to have'}, {'Jest Cypress': 'nice to have'}]"
Javascript,Mid,Node.js Developer, Warszawa,7 000 - 14 000 PLN,5 810 - 11 620 PLN,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}, {'REST API': 'advanced'}]",[{'React': 'nice to have'}]
Javascript,Senior,Front-end Developer (Angular), Katowice,10 000 - 13 000 PLN,8 500 - 11 000 PLN,"[{'JacaScript': 'advanced'}, {'TypeScript': 'advanced'}, {'HTML': 'advanced'}, {'Angular': 'advanced'}, {'CSS': 'regular'}, {'Git': 'regular'}, {'ES6': 'regular'}]","[{'React': 'nice to have'}, {'Node.js': 'nice to have'}, {'Team Leadership': 'nice to have'}]"
Javascript,Senior,Software Engineer (Vue.js), Poznań,15 000 - 22 000 PLN,13 000 - 18 000 PLN,"[{'JavaScript': 'master'}, {'English': 'regular'}, {'Webpack': 'regular'}]","[{'TypeScript': 'nice to have'}, {'Vue.js': 'nice to have'}, {'React': 'nice to have'}, {'Angular': 'nice to have'}]"
Javascript,Mid,Node.js Developer, Kraków,10 900 - 15 100 PLN,9 100 - 12 700 PLN,"[{'ECMAScript 6': 'regular'}, {'TypeScript': 'regular'}, {'API Design': 'regular'}, {'SQL': 'regular'}, {'NoSQL': 'regular'}, {'WebSocket': 'regular'}, {'Reactive Programming': 'regular'}, {'AWS': 'junior'}]","[{'nestJS': 'nice to have'}, {'Microservices': 'nice to have'}]"
Javascript,Mid,React Native Engineer, Berlin,4 167 - 5 833 EUR,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'TypeScript': 'regular'}]",
Javascript,Senior,Senior React Native Developer, Wrocław,17 000 - 24 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'ReactJS': 'advanced'}, {'English': 'advanced'}, {'React Native': 'advanced'}, {'Android': 'regular'}, {'iOS': 'regular'}, {'Mobile': 'regular'}]",
Javascript,Mid,React Native Developer, Wrocław,13 000 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'English': 'advanced'}, {'ReactJS': 'regular'}, {'Mobile': 'regular'}, {'React Native': 'regular'}]","[{'Android': 'nice to have'}, {'iOS': 'nice to have'}]"
Javascript,Senior,Senior Frontend Developer (Angular), Kraków,19 000 - 22 500 PLN,18 000 - 22 000 PLN,"[{'Angular': 'regular'}, {'RxJS': 'regular'}, {'TypeScript': 'regular'}, {'SCSS': 'junior'}, {'HTML5': 'junior'}]",
Javascript,Mid,Fullstack Developer, Wrocław,13 000 - 16 000 PLN,No permanent information,"[{'Angular': 'regular'}, {'JavaScript': 'regular'}, {'Java': 'junior'}]",[{'Spring Boot': 'nice to have'}]
Javascript,Mid,Front-end Developer, Gdańsk,Undisclosed Salary,No permanent information,"[{'Polish': 'master'}, {'ReactJS': 'advanced'}, {'TypeScript': 'advanced'}, {'Docker': 'regular'}, {'English': 'regular'}]",
Javascript,Senior,Senior React Developer, Warszawa,Undisclosed Salary,No permanent information,"[{'JavaScript': 'advanced'}, {'TypeScript': 'advanced'}, {'ReactJS': 'advanced'}, {'English': 'advanced'}, {'HTML5': 'regular'}, {'CSS3': 'regular'}, {'Node.js': 'regular'}, {'TDD': 'regular'}]",
Javascript,Mid,Frontend Developer, Warszawa,8 000 - 13 000 PLN,No permanent information,"[{'ReactJS': 'regular'}, {'JavaScript': 'regular'}, {'HTML': 'regular'}, {'CSS': 'regular'}, {'REST API': 'regular'}]",[{'TypeScript': 'nice to have'}]
Javascript,Senior,Frontend Developer (React), Warszawa,11 000 - 16 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'TypeScript': 'advanced'}, {'React': 'advanced'}, {'Redux': 'regular'}, {'HTML5': 'regular'}]",
Javascript,Senior,"Senior Software Engineer, Frontend", Berlin,10 000 - 13 750 USD,No permanent information,"[{'frontend': 'master'}, {'JavaScript': 'regular'}, {'TypeScript': 'regular'}, {'CSS': 'regular'}]",
Javascript,Mid,Senior Node.js Developer, Wrocław,14 000 - 19 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'ES6': 'advanced'}, {'Node.js': 'advanced'}, {'MongoDB': 'regular'}, {'MySQL / NoSQL': 'regular'}, {'TypeScript': 'regular'}, {'Git': 'regular'}, {'Express.js': 'regular'}, {'Docker': 'junior'}, {'GraphQL': 'junior'}]",
Javascript,Mid,Front-end Developer, Gdańsk,Undisclosed Salary,No permanent information,[{'JavaScript': 'advanced'}],[{'HTML5': 'nice to have'}]
Javascript,Senior,Senior JavaScript developer with Node.JS, Kraków,18 000 - 28 000 PLN,No permanent information,"[{'Node.js': 'advanced'}, {'TypeScript': 'advanced'}, {'Docker': 'regular'}, {'Git': 'regular'}]","[{'Mocha': 'nice to have'}, {'RabbitMQ': 'nice to have'}, {'GraphQL': 'nice to have'}]"
Javascript,Mid,Programista Node.js/Javascript, Poznań,Undisclosed Salary,No permanent information,"[{'Node.js': 'regular'}, {'Docker': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Mid,React Developer, Wrocław,10 000 - 18 000 PLN,No permanent information,"[{'React': 'advanced'}, {'JavaScript': 'regular'}, {'Docker': 'regular'}, {'TypeScript': 'regular'}]",
Javascript,Mid,JavaScript Developer, Kraków,9 000 - 13 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'JS ES6': 'regular'}, {'HTML5': 'regular'}, {'CSS3': 'regular'}, {'Git': 'junior'}, {'GitFLow': 'junior'}, {'ReactJS': 'junior'}]",
Javascript,Mid,REMOTE Frontend Developer (React), Warszawa,18 900 - 23 100 PLN,No permanent information,"[{'React': 'advanced'}, {'Redux': 'regular'}, {'TypeScript': 'regular'}, {'JavaScript': 'regular'}, {'HTML': 'regular'}, {'CSS': 'regular'}, {'Jenkins': 'regular'}, {'GitLab': 'regular'}]","[{'REST': 'nice to have'}, {'HTTP': 'nice to have'}]"
Javascript,Junior,Frontend Developer, Warszawa,6 000 - 9 000 PLN,No permanent information,"[{'ReactJS': 'regular'}, {'JavaScript': 'regular'}, {'Redux': 'junior'}, {'REST API': 'junior'}, {'SASS': 'junior'}, {'HTML5': 'junior'}, {'Svelte': 'junior'}, {'HTTPS': 'junior'}]","[{'AWS': 'nice to have'}, {'Azure': 'nice to have'}]"
Javascript,Senior,Front-End React Team Lead, Warszawa,20 000 - 30 000 PLN,No permanent information,"[{'Core JavaScript': 'master'}, {'React.JS': 'master'}]",
Javascript,Senior,Lead Frontend Developer, Warszawa,25 200 - 28 560 PLN,No permanent information,"[{'HTML': 'advanced'}, {'CSS': 'advanced'}, {'JavaScript': 'advanced'}, {'REST API': 'advanced'}, {'TypeScript': 'regular'}, {'React': 'regular'}, {'Azure': 'regular'}]",
Javascript,Mid,Node.js Developer, Poznań,6 000 - 9 000 PLN,No permanent information,"[{'Node.js': 'advanced'}, {'TypeScript': 'advanced'}, {'REST API': 'advanced'}, {'nestJS': 'regular'}, {'Agile': 'regular'}, {'Scrum': 'regular'}, {'GitFLow': 'regular'}]",
Javascript,Mid,Jamstack Developer, Białystok,7 500 - 15 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'TypeScript': 'regular'}, {'ReactJS': 'regular'}, {'Gatsby': 'regular'}, {'React hooks': 'regular'}, {'GraphQL': 'regular'}, {'REST API': 'regular'}, {'English': 'regular'}, {'Polish': 'junior'}]",
Javascript,Senior,Node.js Developer, Wrocław,14 000 - 19 500 PLN,No permanent information,"[{'Node.js': 'advanced'}, {'MongoDB': 'advanced'}, {'REST API': 'advanced'}, {'English': 'advanced'}, {'AWS': 'regular'}]",
Javascript,Senior,Frontend Developer (with React.js), Warszawa,23 000 - 25 000 PLN,No permanent information,"[{'ReactJS': 'advanced'}, {'HTML': 'advanced'}, {'JavaScript': 'advanced'}, {'Node.js': 'regular'}, {'REST API': 'regular'}]",
Javascript,Senior,Node.js Tech Lead (m/f), Warszawa,18 000 - 24 000 PLN,No permanent information,"[{'Node.js': 'master'}, {'AWS': 'advanced'}, {'Docker': 'advanced'}, {'CI/CD': 'advanced'}]","[{'React': 'nice to have'}, {'Kubernetes': 'nice to have'}, {'API': 'nice to have'}, {'Python': 'nice to have'}]"
Javascript,Senior,Tech Lead PHP & Node.JS (m/f), Warszawa,18 000 - 24 000 PLN,No permanent information,"[{'PHP 7': 'master'}, {'Node.js': 'master'}, {'CI/CD': 'advanced'}, {'Docker': 'regular'}, {'Kubernetes': 'regular'}, {'AWS': 'regular'}]","[{'React': 'nice to have'}, {'SEO': 'nice to have'}, {'WordPress': 'nice to have'}]"
Javascript,Senior,Lider Zespołu Programistów Node.js, Warszawa,14 000 - 18 000 PLN,No permanent information,"[{'JavaScript': 'master'}, {'Node.js': 'master'}, {'REST': 'advanced'}, {'JSON': 'advanced'}]",
Javascript,Mid,Full-Stack Developer, Poznań,Undisclosed Salary,No permanent information,"[{'Python': 'regular'}, {'Selenium': 'regular'}, {'Tosca': 'regular'}, {'AI': 'regular'}, {'Machine Learning': 'regular'}, {'data analytics': 'regular'}, {'Agile': 'regular'}, {'Kubernetes': 'regular'}, {'Docker': 'regular'}, {'Apache Spark': 'regular'}]",
Javascript,Senior,Senior Frontend Developer, Wrocław,15 000 - 19 000 PLN,12 500 - 16 000 PLN,"[{'JavaScript': 'master'}, {'React': 'advanced'}, {'REST API': 'regular'}, {'CSS': 'regular'}, {'HTML': 'regular'}, {'Testing': 'regular'}]",
Javascript,Mid,React JS Developer, Pruszcz Gdański,5 000 - 10 000 PLN,No permanent information,"[{'ReactJS': 'advanced'}, {'JS': 'advanced'}, {'HTML5': 'advanced'}, {'SCSS': 'advanced'}, {'TypeScript': 'regular'}, {'Git': 'regular'}]",
Javascript,Senior,Backend Developer, Warszawa,30 000 - 32 000 PLN,No permanent information,[{'Node.js': 'advanced'}],"[{'MongoDB': 'nice to have'}, {'Golang': 'nice to have'}, {'TypeScript': 'nice to have'}, {'Redis': 'nice to have'}]"
Javascript,Senior,Senior JavaScript Fullstack Developer, Warszawa,14 000 - 20 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'Node': 'advanced'}, {'English': 'regular'}, {'Scrum': 'regular'}]",
Javascript,Mid,Senior Frontend Developer, Warszawa,25 000 - 30 000 PLN,No permanent information,"[{'ReactJS': 'advanced'}, {'Front-End': 'advanced'}, {'JavaScript': 'regular'}, {'HTML': 'regular'}]",
Javascript,Mid,JavaScript Fullstack Developer, Gliwice,11 000 - 14 000 PLN,No permanent information,"[{'English': 'advanced'}, {'React': 'regular'}, {'Node.js': 'regular'}, {'SQL': 'junior'}]",
Javascript,Senior,Backend Developer (Node.js / PHP), Gdańsk,Undisclosed Salary,No permanent information,"[{'Node.js': 'advanced'}, {'PHP': 'advanced'}, {'AWS': 'advanced'}, {'SQL': 'advanced'}]",[{'Laravel': 'nice to have'}]
Javascript,Senior,Senior Node.js Backend Engineer, Warszawa,23 000 - 26 680 PLN,23 000 - 26 680 PLN,"[{'Node.js': 'master'}, {'Node.js Express': 'advanced'}, {'TypeScript': 'advanced'}, {'Microservice Architecture': 'advanced'}, {'Kafka': 'regular'}, {'GraphQL': 'regular'}, {'REST API': 'regular'}]",[{'Lambas': 'nice to have'}]
Javascript,Senior,Senior Frontend Engineer, Warszawa,23 000 - 26 680 PLN,23 000 - 26 680 PLN,"[{'Node.js': 'master'}, {'Node.js Express': 'advanced'}, {'TypeScript': 'advanced'}, {'Microservice Architecture': 'advanced'}, {'Kafka': 'regular'}, {'GraphQL': 'regular'}, {'REST API': 'regular'}]",[{'Lambas': 'nice to have'}]
Javascript,Mid,Front-End Developer | e-commerce, Wrocław,14 000 - 20 000 PLN,No permanent information,"[{'JavaScript': 'regular'}, {'React': 'regular'}]",
Javascript,Senior,Frontend Developer, Poznań,12 000 - 16 000 PLN,No permanent information,[{'React': 'regular'}],
Javascript,Senior,Remote JavaScript Developer, Kraków,14 000 - 18 000 PLN,11 500 - 15 000 PLN,"[{'JavaScript': 'master'}, {'HTML': 'master'}, {'CSS (SCSS)': 'master'}, {'Nuxt.js': 'master'}, {'Vue.js': 'master'}]",
Javascript,Senior,Senior ReactJS/React Native Developer, Poznań,15 400 - 20 600 PLN,No permanent information,"[{'React Native': 'advanced'}, {'JavaScript': 'advanced'}, {'Redux': 'advanced'}, {'ReactJS': 'advanced'}, {'Unit Testing': 'regular'}, {'TypeScript': 'regular'}]",
Javascript,Mid,Senior React Developer, Warszawa,12 000 - 18 000 PLN,8 500 - 12 600 PLN,"[{'JavaScript': 'master'}, {'Ractjs': 'master'}, {'TypeScript': 'advanced'}, {'Redux': 'advanced'}, {'Git': 'advanced'}, {'English': 'advanced'}]","[{'Node.js': 'nice to have'}, {'React Native': 'nice to have'}]"
Javascript,Mid,Senior React Developer, Białystok,12 000 - 18 000 PLN,8 500 - 12 600 PLN,"[{'JavaScript': 'master'}, {'Ractjs': 'master'}, {'TypeScript': 'advanced'}, {'Redux': 'advanced'}, {'Git': 'advanced'}, {'English': 'advanced'}]","[{'Node.js': 'nice to have'}, {'React Native': 'nice to have'}]"
Javascript,Mid,Node.js Backend Developer, Wrocław,11 000 - 18 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}, {'Azure': 'regular'}, {'TypeScript': 'regular'}, {'AWS': 'regular'}, {'DevOps': 'junior'}]",
Javascript,Mid,Node.js Backend Developer, Gdańsk,11 000 - 18 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}, {'Azure': 'regular'}, {'TypeScript': 'regular'}, {'AWS': 'regular'}, {'DevOps': 'junior'}]",
Javascript,Senior,Front-end Developer (Angular), Wrocław,17 000 - 21 000 PLN,No permanent information,"[{'HTML': 'advanced'}, {'CSS': 'advanced'}, {'JavaScript': 'advanced'}, {'TypeScript': 'advanced'}, {'RxJS': 'advanced'}, {'Angular': 'advanced'}, {'Responsive Web Design': 'regular'}, {'NgRx': 'regular'}, {'NGXS': 'regular'}, {'Node.js': 'junior'}]",
